Material,Average,Standard Deviation
Low Alloy Steel,5.076091072573381,2.6419408481468376
Medium Carbon Steel,5.0487513846418,2.79668634344869
High Carbon Steel,5.001164133273104,1.9777919485422775
Nodular Cast Iron,5.826077568785876,1.6824202917660982
